dataset,strategy,seed,task_id,n,coverage,coverage_deficit,mean_set_size,normalized_mean_set_size,p90_set_size,empty_rate,singleton_action_rate,no_decision_rate,action_accuracy,wrong_action_rate_all,top1_accuracy,valid_calibrator_rate
MNIST,oracle_qhat_selected_by_inferred_context,3,3,600,0.925,0.0,0.9283333333333333,0.1547222222222222,1.0,0.07166666666666667,0.9283333333333333,0.07166666666666666,0.9964093357271095,0.0033333333333333335,0.9783333333333334,1.0
MNIST,oracle_qhat_selected_by_inferred_context,3,4,600,0.9416666666666667,0.0,0.96,0.16,1.0,0.04,0.96,0.040000000000000036,0.9809027777777778,0.018333333333333333,0.9666666666666667,1.0
MNIST,oracle_qhat_selected_by_inferred_context,4,0,600,0.8566666666666667,0.043333333333333335,0.8583333333333333,0.14305555555555557,1.0,0.14166666666666666,0.8583333333333333,0.14166666666666672,0.9980582524271845,0.0016666666666666668,0.9833333333333333,1.0
MNIST,oracle_qhat_selected_by_inferred_context,4,1,600,0.8433333333333334,0.05666666666666664,0.8533333333333334,0.14222222222222222,1.0,0.14666666666666667,0.8533333333333334,0.1466666666666666,0.98828125,0.01,0.9616666666666667,1.0
MNIST,oracle_qhat_selected_by_inferred_context,4,2,600,0.8633333333333333,0.036666666666666736,0.89,0.14833333333333334,1.0,0.11,0.89,0.10999999999999999,0.9700374531835206,0.02666666666666667,0.94,1.0
MNIST,oracle_qhat_selected_by_inferred_context,4,3,600,0.8683333333333333,0.03166666666666673,0.87,0.145,1.0,0.13,0.87,0.13,0.9980842911877394,0.0016666666666666668,0.9683333333333334,1.0
MNIST,oracle_qhat_selected_by_inferred_context,4,4,600,0.8833333333333333,0.01666666666666672,0.89,0.14833333333333334,1.0,0.11,0.89,0.10999999999999999,0.9925093632958801,0.006666666666666667,0.9683333333333334,1.0
FashionMNIST,global_seed,0,0,600,0.9,0.0,1.0516666666666667,0.17527777777777775,1.0,0.0033333333333333335,0.9416666666666667,0.05833333333333335,0.8991150442477877,0.095,0.87,1.0
FashionMNIST,global_seed,0,1,600,0.89,0.010000000000000009,1.0166666666666666,0.16944444444444445,1.0,0.008333333333333333,0.9666666666666667,0.033333333333333326,0.9051724137931034,0.09166666666666666,0.8983333333333333,1.0
FashionMNIST,global_seed,0,2,600,0.8733333333333333,0.026666666666666727,1.06,0.17666666666666667,1.0,0.0033333333333333335,0.9333333333333333,0.06666666666666665,0.8732142857142857,0.11833333333333333,0.8433333333333334,1.0
FashionMNIST,global_seed,0,3,600,0.8966666666666666,0.0033333333333334103,1.055,0.17583333333333334,1.0,0.0033333333333333335,0.9383333333333334,0.06166666666666665,0.8952042628774423,0.09833333333333333,0.8716666666666667,1.0
