dataset,strategy,seed,n,coverage,coverage_deficit,mean_set_size,normalized_mean_set_size,p90_set_size,empty_rate,singleton_action_rate,no_decision_rate,action_accuracy,wrong_action_rate_all,top1_accuracy,valid_calibrator_rate
FashionMNIST,oracle_task,2,3000,0.8826666666666667,0.01733333333333331,0.925,0.15416666666666667,1.0,0.076,0.923,0.07699999999999996,0.955218490429758,0.04133333333333333,0.936,1.0
FashionMNIST,oracle_task,3,3000,0.9116666666666666,0.0,1.026,0.171,1.0,0.037333333333333336,0.8993333333333333,0.10066666666666668,0.9473684210526315,0.04733333333333333,0.9106666666666666,1.0
FashionMNIST,oracle_task,4,3000,0.8853333333333333,0.014666666666666717,1.017,0.1695,1.0,0.05366666666666667,0.8776666666666667,0.1223333333333333,0.9335358906190657,0.058333333333333334,0.8916666666666667,1.0
FashionMNIST,inferred_bucket,0,3000,0.903,0.0,1.054,0.17566666666666667,1.0,0.008,0.93,0.06999999999999995,0.9111111111111111,0.08266666666666667,0.8863333333333333,1.0
FashionMNIST,inferred_bucket,1,3000,0.911,0.0,1.0896666666666666,0.18161111111111108,1.0,0.007666666666666666,0.895,0.10499999999999998,0.9124767225325885,0.07833333333333334,0.879,1.0
FashionMNIST,inferred_bucket,2,3000,0.8826666666666667,0.01733333333333331,0.925,0.15416666666666667,1.0,0.076,0.923,0.07699999999999996,0.955218490429758,0.04133333333333333,0.936,1.0
FashionMNIST,inferred_bucket,3,3000,0.9116666666666666,0.0,1.026,0.171,1.0,0.037333333333333336,0.8993333333333333,0.10066666666666668,0.9473684210526315,0.04733333333333333,0.9106666666666666,1.0
FashionMNIST,inferred_bucket,4,3000,0.8853333333333333,0.014666666666666717,1.017,0.1695,1.0,0.05366666666666667,0.8776666666666667,0.1223333333333333,0.9335358906190657,0.058333333333333334,0.8916666666666667,1.0
FashionMNIST,oracle_qhat_selected_by_inferred_context,0,3000,0.884,0.016000000000000014,1.0086666666666666,0.16811111111111113,1.0,0.018333333333333333,0.9546666666666667,0.04533333333333334,0.9022346368715084,0.09333333333333334,0.8863333333333333,1.0
FashionMNIST,oracle_qhat_selected_by_inferred_context,1,3000,0.8776666666666667,0.022333333333333316,1.0146666666666666,0.16911111111111113,1.0,0.024666666666666667,0.936,0.06399999999999995,0.896011396011396,0.09733333333333333,0.879,1.0
FashionMNIST,oracle_qhat_selected_by_inferred_context,2,3000,0.8826666666666667,0.01733333333333331,0.925,0.15416666666666667,1.0,0.076,0.923,0.07699999999999996,0.955218490429758,0.04133333333333333,0.936,1.0
FashionMNIST,oracle_qhat_selected_by_inferred_context,3,3000,0.9116666666666666,0.0,1.026,0.171,1.0,0.037333333333333336,0.8993333333333333,0.10066666666666668,0.9473684210526315,0.04733333333333333,0.9106666666666666,1.0
FashionMNIST,oracle_qhat_selected_by_inferred_context,4,3000,0.8853333333333333,0.014666666666666717,1.017,0.1695,1.0,0.05366666666666667,0.8776666666666667,0.1223333333333333,0.9335358906190657,0.058333333333333334,0.8916666666666667,1.0
PermutedMNIST,global_seed,0,3000,0.9083333333333333,0.0,0.9226666666666666,0.1537777777777778,1.0,0.07733333333333334,0.9226666666666666,0.07733333333333337,0.9844653179190751,0.014333333333333333,0.9636666666666667,1.0
PermutedMNIST,global_seed,1,3000,0.903,0.0,0.9226666666666666,0.1537777777777778,1.0,0.07733333333333334,0.9226666666666666,0.07733333333333337,0.9786849710982659,0.019666666666666666,0.96,1.0
PermutedMNIST,global_seed,2,3000,0.895,0.0050000000000000044,0.9053333333333333,0.1508888888888889,1.0,0.09466666666666666,0.9053333333333333,0.09466666666666668,0.9885861561119293,0.010333333333333333,0.977,1.0
